district,variety_id,available,supplier,availability_note
Pallisa,NARO/2016/BEN/034,yes,Okeba seeds; Golden Bull (U) Limited; Green Firm Africa; Savana Seeds; Grow More Seeds,5 licensed seed company(ies) listed nationally
Rakai,NARO/2016/BEN/034,yes,Okeba seeds; Golden Bull (U) Limited; Green Firm Africa; Savana Seeds; Grow More Seeds,5 licensed seed company(ies) listed nationally
Rukungiri,NARO/2016/BEN/034,yes,Okeba seeds; Golden Bull (U) Limited; Green Firm Africa; Savana Seeds; Grow More Seeds,5 licensed seed company(ies) listed nationally
Sembabule,NARO/2016/BEN/034,yes,Okeba seeds; Golden Bull (U) Limited; Green Firm Africa; Savana Seeds; Grow More Seeds,5 licensed seed company(ies) listed nationally
Sironko,NARO/2016/BEN/034,yes,Okeba seeds; Golden Bull (U) Limited; Green Firm Africa; Savana Seeds; Grow More Seeds,5 licensed seed company(ies) listed nationally
Soroti,NARO/2016/BEN/034,yes,Okeba seeds; Golden Bull (U) Limited; Green Firm Africa; Savana Seeds; Grow More Seeds,5 licensed seed company(ies) listed nationally
Tororo,NARO/2016/BEN/034,yes,Okeba seeds; Golden Bull (U) Limited; Green Firm Africa; Savana Seeds; Grow More Seeds,5 licensed seed company(ies) listed nationally
Wakiso,NARO/2016/BEN/034,yes,Okeba seeds; Golden Bull (U) Limited; Green Firm Africa; Savana Seeds; Grow More Seeds,5 licensed seed company(ies) listed nationally
Yumbe,NARO/2016/BEN/034,yes,Okeba seeds; Golden Bull (U) Limited; Green Firm Africa; Savana Seeds; Grow More Seeds,5 licensed seed company(ies) listed nationally
Abim,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Adjumani,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Amolatar,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Amuria,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Amuru,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Apac,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Arua,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Budaka,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Bududa,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Bugiri,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Bukedea,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Bukwo,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Buliisa,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Bundibugyo,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Bushenyi,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
